epoch,accuracy,auc,loss,lr,precision,recall,top_2_accuracy,val_accuracy,val_auc,val_loss,val_precision,val_recall,val_top_2_accuracy
0,0.625,0.8314887285232544,8.04456615447998,5e-05,0.6170212626457214,0.6041666865348816,0.8541666865348816,0.800000011920929,0.897777795791626,7.78498649597168,0.7692307829856873,0.6666666865348816,1.0
1,0.7083333134651184,0.8806423544883728,7.858116149902344,5e-05,0.695652186870575,0.6666666865348816,0.8958333134651184,0.800000011920929,0.897777795791626,7.777441501617432,0.7692307829856873,0.6666666865348816,1.0
2,0.75,0.884765625,7.764811992645264,5e-05,0.7727272510528564,0.7083333134651184,0.9583333134651184,0.800000011920929,0.8977777361869812,7.763859272003174,0.7692307829856873,0.6666666865348816,1.0
3,0.6875,0.8397352695465088,8.007800102233887,5e-05,0.6875,0.6875,0.8958333134651184,0.800000011920929,0.9022221565246582,7.743047714233398,0.7692307829856873,0.6666666865348816,1.0
4,0.7083333134651184,0.8728298544883728,7.791742324829102,5e-05,0.7209302186965942,0.6458333134651184,0.9375,0.800000011920929,0.8966666460037231,7.745516300201416,0.7692307829856873,0.6666666865348816,1.0
5,0.7916666865348816,0.8669705390930176,7.937232971191406,5e-05,0.800000011920929,0.75,0.8958333134651184,0.800000011920929,0.9022221565246582,7.728652000427246,0.7857142686843872,0.7333333492279053,1.0
6,0.7916666865348816,0.9299044609069824,7.6095356941223145,5e-05,0.804347813129425,0.7708333134651184,0.9375,0.800000011920929,0.9133332967758179,7.7125701904296875,0.7857142686843872,0.7333333492279053,1.0
7,0.7916666865348816,0.8830295205116272,7.837752819061279,5e-05,0.782608687877655,0.75,0.9166666865348816,0.800000011920929,0.9099999666213989,7.707993507385254,0.7692307829856873,0.6666666865348816,1.0
8,0.7708333134651184,0.9139540195465088,7.670172214508057,5e-05,0.8181818127632141,0.75,0.9375,0.800000011920929,0.9244444370269775,7.694024562835693,0.7692307829856873,0.6666666865348816,1.0
9,0.75,0.8982205390930176,7.7275238037109375,5e-05,0.7333333492279053,0.6875,0.9166666865348816,0.800000011920929,0.9099999666213989,7.698941230773926,0.7692307829856873,0.6666666865348816,1.0
10,0.7291666865348816,0.9147135615348816,7.628036975860596,5e-05,0.75,0.6875,1.0,0.7333333492279053,0.9055555462837219,7.6977057456970215,0.7692307829856873,0.6666666865348816,1.0
11,0.6875,0.8715277910232544,7.916213512420654,5e-05,0.717391312122345,0.6875,0.8958333134651184,0.7333333492279053,0.9011111259460449,7.7031707763671875,0.75,0.6000000238418579,1.0
12,0.875,0.955078125,7.489808559417725,5e-05,0.8913043737411499,0.8541666865348816,0.9791666865348816,0.7333333492279053,0.8922222256660461,7.717897415161133,0.7142857313156128,0.6666666865348816,1.0
13,0.7916666865348816,0.8786892890930176,7.830569744110107,5e-05,0.8222222328186035,0.7708333134651184,0.9375,0.6666666865348816,0.8922221660614014,7.719117164611816,0.692307710647583,0.6000000238418579,1.0
14,0.6875,0.8633897304534912,7.765068054199219,5e-05,0.6888889074325562,0.6458333134651184,0.8958333134651184,0.6666666865348816,0.8822222352027893,7.731033802032471,0.6428571343421936,0.6000000238418579,1.0
15,0.7291666865348816,0.8830295205116272,7.807122707366943,5e-05,0.7777777910232544,0.7291666865348816,0.8333333134651184,0.6666666865348816,0.8799999952316284,7.736514091491699,0.6428571343421936,0.6000000238418579,1.0
